states,2H,5C,18N,75C,129O,147H,190H,221C,285H,310C,311H,369H,375H,395H,404C,406N,477H,711N,712H,722H,723H,526H,528C,507H,545C,568H,675H,782C,853H,855C,857H,861H,905H,953C
0,0.174342,-0.11501,-0.208421,-0.056688,-0.340684,0.010622,0.063504,-0.160367,0.174487,-0.068224,0.040775,0.089233,0.013544,0.053296,0.196208,-0.134806,0.08044,0.034777,0.165039,0.033996,0.068356,0.079575,-0.075496,0.091861,-0.040119,0.058056,0.060593,0.23556,0.095509,-0.100199,0.021909,0.018016,0.029158,-0.089534
1,0.15167,-0.102301,-0.167106,-0.059341,-0.366534,0.02512,0.060196,-0.152352,0.173353,-0.093915,0.065316,0.092295,0.030237,0.074732,0.185649,-0.125764,0.091057,0.028312,0.167517,0.067266,0.081199,0.069688,-0.099658,0.080037,-0.052531,0.050326,0.071423,0.268778,0.10498,-0.109487,-0.000979,0.012256,0.041183,-0.086997
0,0.184371,-0.100775,-0.143518,-0.078871,-0.333879,0.022201,0.046738,-0.110703,0.167984,-0.070214,0.037538,0.09026,0.012417,0.064597,0.203019,-0.158472,0.089857,0.052662,0.176388,0.042016,0.060402,0.068172,-0.089713,0.064406,-0.061932,0.043307,0.050495,0.232257,0.108612,-0.141461,0.000369,0.010013,0.038649,-0.066763
1,0.16831,-0.115908,-0.148599,-0.038826,-0.370141,0.006999,0.066244,-0.149781,0.153704,-0.062655,0.038163,0.099,0.0159,0.081907,0.233862,-0.134632,0.076473,-0.005295,0.172408,0.069218,0.083689,0.077766,-0.100916,0.064403,-0.067019,0.055299,0.069407,0.207874,0.098766,-0.164918,0.00127,0.012527,0.048172,-0.074924
1,0.183935,-0.131691,-0.150732,-0.067419,-0.328724,0.0121,0.059522,-0.150864,0.157978,-0.062117,0.032084,0.083394,0.025882,0.054336,0.192745,-0.102299,0.091613,0.016353,0.172041,0.066487,0.089993,0.065658,-0.104581,0.082387,-0.019374,0.05398,0.069678,0.204501,0.083222,-0.144893,0.001741,0.019672,0.022503,-0.062856
1,0.162716,-0.089052,-0.17794,-0.063569,-0.34513,0.0133,0.043633,-0.090353,0.166871,-0.084383,0.032727,0.088677,0.019864,0.063941,0.198701,-0.151825,0.073984,0.008926,0.163871,0.054325,0.065965,0.059194,-0.111732,0.074514,-0.071989,0.063981,0.040753,0.223609,0.100397,-0.102904,0.018635,0.000524,0.030617,-0.043074
1,0.168767,-0.094999,-0.183143,-0.085711,-0.361939,0.019236,0.043602,-0.161146,0.179006,-0.072446,0.035829,0.092217,0.0151,0.057287,0.253176,-0.112672,0.08829,0.015319,0.162275,0.071533,0.076727,0.057079,-0.08777,0.074389,-0.014453,0.068598,0.055389,0.245343,0.090942,-0.091681,0.032729,0.011175,0.029784,-0.059607
1,0.183369,-0.172958,-0.121206,-0.059932,-0.335528,0.017232,0.044472,-0.150851,0.160109,-0.061331,0.035888,0.092091,0.01199,0.07819,0.193776,-0.016705,0.089258,0.010385,0.151082,0.068674,0.056127,0.061556,-0.073917,0.09496,-0.053828,0.073847,0.065754,0.222365,0.08654,-0.133079,-0.001657,0.017345,0.030715,-0.101685
1,0.166093,-0.057118,-0.206481,-0.048857,-0.367387,0.018626,0.070299,-0.131855,0.146856,-0.060314,0.041606,0.101523,0.030962,0.051659,0.229194,-0.179899,0.084438,0.006737,0.157188,0.041301,0.073958,0.064498,-0.109549,0.083885,-0.064996,0.055397,0.057811,0.225407,0.091295,-0.128707,0.006804,0.006369,0.01941,-0.063209
1,0.165929,-0.066353,-0.120454,-0.053224,-0.354016,0.017653,0.058925,-0.132368,0.162963,-0.057582,0.037718,0.081902,0.015295,0.066128,0.222258,-0.142285,0.083126,0.006789,0.175441,0.044473,0.061437,0.075788,-0.104295,0.066474,-0.07099,0.054731,0.067216,0.236294,0.084901,-0.105333,0.011982,0.014378,0.047728,-0.077456
0,0.166805,-0.056609,-0.170618,-0.062499,-0.362434,0.012643,0.051063,-0.131743,0.154641,-0.032013,0.030259,0.096483,0.019227,0.056876,0.236023,-0.142317,0.09376,0.012803,0.149468,0.05289,0.084678,0.053465,-0.09147,0.076465,-0.013154,0.059668,0.070664,0.221329,0.10409,-0.176161,0.007641,0.01677,0.047304,-0.078516
